Remuneracao Liquida	Descontos Legais	Indenizacoes	Remuneracao Bruta	Matricula	Redutor
     4766.08	      243.59	        0.00	     5009.67	007684	        0.00
     6091.63	     1582.41	        0.00	     7674.04	007692	        0.00
     3742.67	       76.38	        0.00	     3819.05	007714	        0.00
     4827.72	     1404.59	      617.62	     5614.69	007731	        0.00
    12762.25	     4826.50	        0.00	    17588.75	007773	        0.00
     5318.81	      289.05	        0.00	     5607.86	007838	        0.00
     7964.21	     2374.07	        0.00	    10338.28	007862	        0.00
     9604.31	     2545.12	        0.00	    12149.43	007889	        0.00
     3678.08	         .00	        0.00	     3678.08	007901	        0.00
     7816.77	     2373.82	        0.00	    10190.59	007935	        0.00
     4820.45	      263.04	        0.00	     5083.49	007978	        0.00
     5981.01	     1599.50	        0.00	     7580.51	008001	        0.00
     7932.83	     1545.36	        0.00	     9478.19	008010	        0.00
     7938.47	     1935.33	        0.00	     9873.80	008052	        0.00
     9462.06	     3738.52	     1308.17	    11892.41	008079	        0.00
     8654.36	     2364.39	        0.00	    11018.75	008087	        0.00
     7124.49	     1181.76	        0.00	     8306.25	008095	        0.00
      571.60	     1553.77	        0.00	     2125.37	008109	        0.00
    10542.54	     3872.41	        0.00	    14414.95	008117	        0.00
     5568.93	      385.14	        0.00	     5954.07	008125	        0.00
     5159.05	     1106.86	        0.00	     6265.91	008141	        0.00
     5382.91	      272.10	        0.00	     5655.01	008150	        0.00
    12649.75	     3424.84	     3483.53	    12591.06	008176	        0.00
     7630.79	         .00	        0.00	     7630.79	008206	        0.00
     6012.52	     1618.39	        0.00	     7630.91	008222	        0.00
     3143.59	      216.40	        0.00	     3359.99	008249	        0.00
    11273.79	     3382.17	        0.00	    14655.96	008303	        0.00
    11309.56	     3955.82	        0.00	    15265.38	008346	        0.00
    19316.80	     1707.08	        0.00	    21023.88	008354	        0.00
     6799.87	         .00	        0.00	     6799.87	008397	        0.00
    13284.50	     5379.90	        0.00	    18664.40	008419	        0.00
     8066.28	     4473.14	        0.00	    12539.42	008427	        0.00
     2618.00	       53.43	        0.00	     2671.43	008443	        0.00
     4715.25	       94.78	        0.00	     4810.03	008478	        0.00
     6806.70	     1818.49	        0.00	     8625.19	008508	        0.00
